         Available Data items for the following Database Selection:

          DATABASES: Special Merger Sectors (Aus/NZ) (MA, OMA, IMA)
          MA   - Mergers & Acquisitions
Acquiror Total Assets Last Twelve Months ($ Mil)                        ATASS                          
Acquiror Total Bank Deposits ($ Mil)                                    ADEPOSITS                      
Acquiror Total Bank Deposits (Host Mil)                                 HOSTADEPOSITS                  
Acquiror Total Liabilities ($ Mil)                                      ATLIA                          
Acquiror Total Liabilities (Host Mil)                                   HOSTATLIA                      
Acquiror Ultimate Parent 6-digit CUSIP                                  AUP                            
Acquiror Ultimate Parent All SIC (Codes)                                AUPSIC                         
Acquiror Ultimate Parent Australian Stock Exchange Industry (Code)      AUPASXC                        
Acquiror Ultimate Parent Business Description, Full (Text Paragraph)    AUPBL                          
Acquiror Ultimate Parent Business Short (Description)                   AUPBUSS                        
Acquiror Ultimate Parent CIDGEN                                         AUPCIDGEN                      
Acquiror Ultimate Parent High Tech Industry (Codes)                     AUPHTECH                       
Acquiror Ultimate Parent Industry (Code)                                AUPINC                         
Acquiror Ultimate Parent Industry Group (Code)                          AUPINGC                        
Acquiror Ultimate Parent is a Financial Sponsor Flag (Y/N)              AUPFINANCIAL                   
Acquiror Ultimate Parent Macro Industry (Code)                          AUP_MACRO_CODE                 
Acquiror Ultimate Parent Mid Industry (Code)                            AUP_MID_CODE                   
Acquiror Ultimate Parent Name                                           AUPNAMES                       
Acquiror Ultimate Parent Nation (Code)                                  AUPNATC                        
Acquiror Ultimate Parent Nation Region (Code)                           AUPNATREGC                     
Acquiror Ultimate Parent Phone Number                                   AUPPHONE                       
Acquiror Ultimate Parent Primary NAIC (Code)                            AUPNAICP                       
Acquiror Ultimate Parent Primary Nation Region (Code)                   AUPPNATREGC                    
Acquiror Ultimate Parent Primary SIC (Code)                             AUPSICP                        
Acquiror Ultimate Parent Primary Stock Exchange (Code)                  AUPEXCHCODE                    
Acquiror Ultimate Parent Primary Ticker Symbol                          AUPTIC                         
Acquiror Ultimate Parent Primary Venture Economics Industry (Code)      AUPVEICP                       
Acquiror Ultimate Parent Public Mid Code                                AUP_PUB_MID                    
Acquiror Ultimate Parent Public Status (Code)                           AUPPUBC                        
Acquiror Ultimate Parent State (Code)                                   AUPSTC                         
Acquiror Ultimate Parent State (Name)                                   AUPSTATE                       
Acquiror Ultimate Parent Stock Exchange (Code)                          AUPAEXCHCODE                   
Acquiror Ultimate Parent Stock Exchange (Name)                          AUPAEXCHANGE                   
Acquiror Ultimate Parent Street Address (Line 1)                        AUPSTREET1                     
Acquiror Ultimate Parent Street Address (Line 2)                        AUPSTREET2                     
Acquiror Ultimate Parent Ticker Symbol                                  AAUPTIC                        
Acquiror Ultimate Parent Venture Economics Industry (Code)              AUPVEIC                        
Acquiror Ultimate Parent Zip Code                                       AUPZIP                         
Acquiror Ultimate Parent's SEDOL                                        AUPSEDOL                       
Acquiror Venture Economics Industry (Code)                              AVEIC                          
Acquiror Walk Away Price                                                ACQUIROR_WALK_AWAY_PRICE       
Acquiror Zip Code                                                       AZIP                           
Acquiror/Investor                                                       AICUTIC                        
Acquiror's SEDOL                                                        ACQUIROR_SEDOL                 
Acquisition Techniques (Code)                                           RANK_MENUACQTECH               
Acquisitions Monthly: Acquiror (Name)                                   AM_ACQNAME                     
Acquisitions Monthly: Acquiror Ultimate Parent (Name)                   AM_ACQUPNAME                   
Acquisitions Monthly: Target (Name)                                     AM_TNAME                       
Acquisitions Monthly: Target Ultimate Parent (Name)                     AM_TUPNAME                     
Activity of Majority-Owned Portfolio Company Flag (Y/N)                 MAJORITY_OWNED_PORT_COMP_YN    
Alliance Flag (Y/N)                                                     ALLIANCE                       
Analyst Estimated Value ($ mil)                                         ANALYST_EST_VALUE              
Analyst Estimated Value (Host mil)                                      HOST_ANALYST_EST_VALUE         
Any Hedge Fund Involvement (Y/N)                                        HEDGE_FUND_INVOLV_YN           
Any Infrastructure Fund Involvement (Y/N)                               INFRA_FUND_INVOLV_YN           
Any Involvement Nation (Code)                                           MANATC                         
Any Involvement Nation Region (Code)                                    MANATRC                        
Any Involvement Primary Nation Region (Code)                            MANATREGC                      
Any Red Chip Company Involvement Y/N                                    RED_CHIP_INVOLV_YN             
Aquiror Number of Employees                                             AEMPLOYEE                      
Asset Swap Flag (Y/N)                                                   ASSET_SWAP                     
Attitude Change Flag (Y/N)                                              ATTITUDE_CHANGE_YN             
Australian Mergers: Bid Date                                            BIDDATE                        
Australian Mergers: Bid Type Code                                       BIDTYPE                        
Australian Mergers: Director's Recommendation (Code)                    DR                             
Australian Mergers: Expert's Conclusion (Code)                          EC                             
Australian Mergers: Response Date                                       RESPONSEDATE                   
Australian Mergers: Response Type                                       RESPONSETYPE                   
Bankruptcy Flag (Y/N)                                                   BNKRUPT                        
Blank Check Company Flag Y/N                                            BLANK_CHECK_COMPANY_YN         
Block Purchases Flag (Y/N)                                              BLOCK                          
Book Value per Share 1 Year Prior ($)                                   BV1                            
Book Value per Share 2 Years Prior ($)                                  BV2                            
Book Value per Share 3 Years Prior ($)                                  BV3                            
Book Value per Share 4 Years Prior ($)                                  BV4                            
Book Value per Share 5 Years Prior ($)                                  BV5                            
Book Value per Share Last Twelve Months ($)                             BV                             
Book Value per Share Last Twelve Months (Euro)                          EURO_BOOKVALUE                 
Book Value per Share Last Twelve Months (Host)                          HOSTBV                         
Book Value per Share Most Recent Interim Period ($)                     BVLQ                           
Book Value per Share Same Quarter 1 Year Prior ($)                      BVFQ                           
Buyouts or Financial Sponsor Involvement Flag (Y/N)                     VENTURE_INVOLV_YN              
Buyside Hedge Fund Involvement (Y/N)                                    BUYSIDE_HEDGE_FUND_INVOLV_YN   
Buyside Infrastructure Fund Involvement (Y/N)                           BUYSIDE_INFRA_FUND_INVOLV_YN   
Buyside: Any Red Chip Company Involvement Y/N                           BUYSIDE_RED_CHIP_INVOLV_YN     
Buyside: Financial Sponsor Activity Flag (Y/N)                          BUYSIDE_INVOLV_YN              
Buyside: Financial Sponsor Consortium/Club Activity Y/N                 BUYSIDE_FINSPONS_CLUBACT_YN    
Buyside:Government Owned Involvement Flag (Y/N)                         BUYSIDE_GOV_OWN_INVOLV_YN      
Buyside:Sovereign Wealth Fund Involvement Flag (Y/N)                    BUYSIDE_SWF_INVOLV_YN          
Capital Expenditures 1 Year Prior ($ Mil)                               CAPEX1                         
Capital Expenditures 1 Year Prior (Host Mil)                            HOSTCAPEX1                     
Capital Expenditures 2 Years Prior ($ Mil)                              CAPEX2                         
Capital Expenditures 2 Years Prior (Host Mil)                           HOSTCAPEX2                     
Capital Expenditures 3 Years Prior ($ Mil)                              CAPEX3                         
Capital Expenditures 3 Years Prior (Host Mil)                           HOSTCAPEX3                     
Capital Expenditures 4 Years Prior ($ Mil)                              CAPEX4                         
Capital Expenditures 4 Years Prior (Host Mil)                           HOSTCAPEX4                     
Capital Expenditures 5 Years Prior ($ Mil)                              CAPEX5                         
Capital Expenditures 5 Years Prior (Host Mil)                           HOSTCAPEX5                     
Capital Expenditures Last Twelve Months ($ Mil)                         CAPEX                          
Capital Expenditures Last Twelve Months (Host Mil)                      HOSTCAPEXLTM                   
Capital Expenditures Most Recent Quarter ($ Mil)                        CAPEXLQ                        
Capital Expenditures Same Quarter 1 Year Prior ($ Mil)                  CAPEXFQ                        
Capitalization exc. STD plus LTD plus S/H Equity ($ Mil)                CAPNOSTD                       
Capitalization exc. STD plus LTD plus S/H Equity (Host Mil)             HOSTCAPNOSTD                   
Capitalization inc. STD plus LTD plus S/H Equity ($ Mil)                CAP                            
Capitalization inc. STD plus LTD plus S/H Equity (Host Mil)             HOSTCAPITALIZATION             
Cash & Marketable Sec 1 Year Prior ($ Mil)                              CASH1                          
Cash & Marketable Sec 2 Years Prior ($ Mil)                             CASH2                          
Cash & Marketable Sec 3 Years Prior ($ Mil)                             CASH3                          
Cash & Marketable Sec 4 Years Prior ($ Mil)                             CASH4                          
Cash & Marketable Sec 5 Years Prior ($ Mil)                             CASH5                          
Cash & Marketable Sec Last Twelve Months ($ Mil)                        CASH                           
Cash & Marketable Sec Last Twelve Months (Host Mil)                     HOSTCASH                       
Cash & Marketable Sec Most Recent Quarter ($ Mil)                       CASHLQ                         
Cash & Marketable Sec Same Quarter 1 Year Prior ($ Mil)                 CASHFQ                         
Cash & Marketable Sec. Last Twelve Months (Euro mil)                    EURO_CASH                      
Challenged Deal Acquiror 6-digit CUSIP                                  COMPETEACU                     
Challenged Deal Acquiror CIDGEN                                         COMPETEACIDGEN                 
Challenged Deal Flag (Y/N)                                              CHA                            
Challenged Deal Target 6-digit CUSIP                                    COMPETETCU                     
Challenged Deal Target CIDGEN                                           COMPETETCIDGEN                 
Choice of Considerations Flag (Y/N)                                     CHOICE                         
Collar Breached Flag (Y/N)                                              COLLAR_BREACHED                
Collar Exchange Ratio Fixed Flag (Y/N)                                  COLLAR_EXCHANGE_RATIO_FIXED    
Collar Exchange Ratio Floating Flag (Y/N)                               COLLAR_EXCHANGE_RATIO_FLOATING 
Collar Flag (Y/N)                                                       COLLAR                         
Collar Percentage Down                                                  COLLAR_PCT_DOWN                
Collar Percentage Up                                                    COLLAR_PCT_UP                  
Collar Price High ($)                                                   COLLARPRH                      
Collar Price High (Host)                                                HOSTCOLLARPRH                  
Collar Price Low ($)                                                    COLLARPRL                      
Collar Price Low (Host)                                                 HOSTCOLLARPRL                  
Collar Source                                                           ACOLLAR_SOURCE                 
Collar Source Date                                                      COLLAR_SOURCE                  
Collar Status                                                           COLLAR_STAT                    
Common Dividends 1 Year Prior ($ Mil)                                   COMDV1                         
Common Dividends 1 Year Prior (Host Mil)                                HOSTCOMDV1                     
Common Dividends 2 Years Prior ($ Mil)                                  COMDV2                         
Common Dividends 2 Years Prior (Host Mil)                               HOSTCOMDV2                     
Common Dividends 3 Years Prior ($ Mil)                                  COMDV3                         
Common Dividends 3 Years Prior (Host Mil)                               HOSTCOMDV3                     
Common Dividends 4 Years Prior ($ Mil)                                  COMDV4                         
Common Dividends 4 Years Prior (Host Mil)                               HOSTCOMDV4                     
Common Dividends 5 Years Prior ($ Mil)                                  COMDV5                         
Common Dividends 5 Years Prior (Host Mil)                               HOSTCOMDV5                     
Common Dividends Last Twelve Months ($ Mil)                             COMDV                          
Common Dividends Last Twelve Months (Host Mil)                          HOSTCOMDVLTM                   
Common Dividends Most Recent Quarter ($ Mil)                            COMDVLQ                        
Common Dividends Same Quarter 1 Year Prior ($ Mil)                      COMDVFQ                        
Common Equity Last Twelve Months ($ Mil)                                COMEQ                          
Common Equity Last Twelve Months (Host Mil)                             HOSTCOMMONEQUITY               
Common Shares Acquired in Transaction (Mil)                             CACQ                           
Common Shares Bought by Acquiror within 6 Months Prior to Ann. (Mil)    C6                             
Common Shares Held by Acquiror at 6 Months Prior to Ann. (Mil)          CHELD                          
Common Shares Issued by Acquiror (Mil)                                  COMISSUED                      
Common Shares Sought by Acquiror (Mil)                                  CSOUGHT                        
Common Shares Sought by Acquiror in Tender Offer (Mil)                  CSOUGHTT                       
Competing Offer Acquiror Name                                           COMPETEAN                      
Competing Offer Flag (Y/N)                                              COMPETE                        
Competing Offer SDC Deal Number                                         COMPETECODE                    
Competing Offer Target Name                                             COMPETETN                      
Competing Offer Value of Transaction ($ Mil)                            COMPETEVAL                     
Consideration Offered (Codes)                                           CONSIDOC                       
Consideration Offered Category (Code)                                   MENUCONO                       
Consideration Offered/Sought (Description)                              CONSID                         
Consideration Sought (Codes)                                            CONSIDSC                       
Consideration Sought Category (Code)                                    MENUCONS                       
Consideration Structure                                                 CONSID_STRUCTURE               
Convertible Debt Last Twelve Months ($ Mil)                             CVTD                           
Convertible Debt Last Twelve Months (Host Mil)                          HOSTCVTDEBT                    
Cost to Acquire Common Shares ($ Mil)                                   CSTCOM                         
Cost to Acquire Common Shares (Host Mil)                                HOSTCOSTCOM                    
Cost to Acquire Convertible Securities ($ Mil)                          CSTCVT                         
Cost to Acquire Convertible Securities (Euro mil)                       EURO_COSTCVT                   
Cost to Acquire Convertible Securities (Host Mil)                       HOSTCOSTCVT                    
Cost to Acquire Preferred Shares ($ Mil)                                CSTPFD                         
Cost to Acquire Preferred Shares (Euro mil)                             EURO_COSTPFD                   
Cost to Acquire Preferred Shares (Host Mil)                             HOSTCOSTPFD                    
Cost tot Acquire Common Shares (Euro mil)                               EURO_COSTCOM                   
Creeping Purchase Flag (Y/N)                                            CREEP                          
Cross Border Deal Flag (Y/N)                                            CROSS                          
Currency of Acquiror Financials (Code)                                  AFINCURRC                      
Currency of Deal (Code)                                                 CURRC                          
Currency of Target Financials (Code)                                    TFINCURRC                      
Current Assets Last Twelve Months ($ Mil)                               CASS                           
Date 1 Day Prior to Announcement                                        ONE_DAY                        
Date 1 Day Prior to Announcement (Acq)                                  AONE_DAY                       
Date 1 Week Prior to Announcement                                       ONE_WEEK                       
Date 1 Week Prior to Announcement (Acq)                                 AONE_WEEK                      
Date 4 Weeks Prior to Announcement                                      FOUR_WEEK                      
Date 4 Weeks Prior to Announcement (Acq)                                AFOUR_WEEK                     
Date Acquiror Advisor Added                                             AADV_ADD_DATE                  
Date Acquisition of a Majority Interest is Effective                    DEFFMAJ                        
Date Announced                                                          DA                             
Date Announced is Estimated Flag (Y/N)                                  DAE                            
Date Deal is Expected to be Effective                                   DATEEFFEXP                     
Date Deal was Created in SDC Database                                   CREATE_STAMP                   
Date Deal was Last Updated in SDC Database                              UPDATE_STAMP                   
Date Effective                                                          DE                             
Date Effective is Estimated Flag (Y/N)                                  DEE                            
Date Effective/Unconditional                                            DUNCON                         
Date Either Target/Acquiror Advisor Added                               BADV_ADD_DATE                  
Date Forecasted for Year Ending                                         FORECAST_DATE                  
Date of Acquiror Financials                                             ADFIN                          
Date of Current Fiscal Year End                                         FORECASTEDFISCAL1              
Date of EC Referral                                                     DATE_EUCREF                    
Date of EC Review                                                       DATE_EUCREV                    
Date of Expiration of Tender Offer                                      DEXP                           
Date of First Stake Purchase                                            DFSTAKE                        
Date of Fiscal Year End 1 Year Prior to Announcement                    FISCAL1                        
Date of Fiscal Year End 2 Years Prior to Announcement                   FISCAL2                        
Date of Fiscal Year End 3 Years Prior to Announcement                   FISCAL3                        
Date of Fiscal Year End 4 Years Prior to Announcement                   FISCAL4                        
Date of MMC Referral                                                    DATE_MMCREF                    
Date of MMC Review                                                      DATE_MMCREV                    
Date of Most Recent Fiscal Year End Prior to Announcement               FISCAL                         
Date of Original Expiration of Tender Offer                             DOEXP                          
Date of Record                                                          DATERECORD                     
Date of Significant Revision                                            SIG_UPDATE                     
Date of Target Financials                                               DFIN                           
Date of Tender Offer                                                    DTENDER                        
Date Originally Announced                                               DAO                            
Date Target Advisor Added                                               TADV_ADD_DATE                  
Date used to Value Common Shares at Announcement                        DCOM                           
Date used to Value Common Shares at Effective Date                      DCOMEFF                        
Date Withdrawn                                                          DW                             
Deal Attitude (Code)                                                    ATTC                           
Deal Started as Unsolicited Flag (Y/N)                                  UNSOLICITED                    
Deal Status (Code)                                                      STATC                          
